opta_id,opta_name,tm_id,tm_name,canonical_name,match_type,match_confidence,last_verified,updated_at
cotiiu6mjkfx5xa63nhfbdf4l,S. Mané,883007.0,F. Mané,s mane,exact_surname,0.9,2026-06-07,
9qrewt049r6yq88c715ymau39,S. Meïté,807165.0,B. Meïté,s meite,exact_surname,0.9,2026-06-07,
dkifo6kxxxsv1hr0rzk1q8afp,S. Milinković-Savić,257474.0,V. Milinković-Savić,s milinkovic-savic,exact_surname,0.9,2026-06-07,
e58qeh3alborxqkuk5bz7nw9g,S. Nypan,911736.0,Sverre Nypan,s nypan,exact_surname,0.9,2026-06-07,
60fbyywnjiz6l8n7gmi2mjld5,S. Olsson,881298.0,Cornelius Olsson,s olsson,exact_surname,0.9,2026-06-07,
5nywow06bvchigvq605hnv1uc,S. Parker,1028959.0,A. Parker,s parker,exact_surname,0.9,2026-06-07,
1e965ic8iol2hfmoc1pu2vgtl,S. Petrov,628042.0,H. Petrov,s petrov,exact_surname,0.9,2026-06-07,
d9qocab39304v52malslp3tg5,S. Popov,1198243.0,B. Popov,s popov,exact_surname,0.9,2026-06-07,
12cgmwvyv78fv1cnos5dvox5,S. Quiroga,1126191.0,Agustín Quiroga,s quiroga,exact_surname,0.9,2026-06-07,
dcenv8dhqoou24de4zsg5wb11,S. Rapp,185427.0,N. Rapp,s rapp,exact_surname,0.9,2026-06-07,
5kkvxgrt5y92hjj8hw28b7l9m,S. Raux-Yao,976840.0,C. Raux-Yao,s raux-yao,exact_surname,0.9,2026-06-07,
4bkqvwlmbwul0s8lbbq6mifp,S. Reese,227102.0,F. Reese,s reese,exact_surname,0.9,2026-06-07,
56hu4jf2fcbncnm0j3yo0ka95,S. Rojas,1364134.0,A. Rojas,s rojas,exact_surname,0.9,2026-06-07,
dunnd586matnh330k1azk5h5g,S. Salle,1108153.0,Santiago Salle,s salle,exact_surname,0.9,2026-06-07,
ei43gdk6nwwixvta5uybx07e2,S. Solari,282694.0,A. Solari,s solari,exact_surname,0.9,2026-06-07,
280b4j6oidfonglcbr2vlj59m,S. Tanaka,489359.0,A. Tanaka,s tanaka,exact_surname,0.9,2026-06-07,
6cr2wi5vopbcjmztpsk77kq8l,S. Wharton,744149.0,A. Wharton,s wharton,exact_surname,0.9,2026-06-07,
718mlndw4d6eewyspsc4e54wk,Samuel Justo,593357.0,Manu Justo,samuel justo,exact_surname,0.9,2026-06-07,
babt4ogygogb5vsb3nqqegxqt,Sangalli,197131.0,Marco Sangalli,sangalli,exact_surname,0.9,2026-06-07,
93ysty1r8uw717axrz77q88ut,Santi Mina,289446.0,Y. Mina,santi mina,exact_surname,0.9,2026-06-07,
5yau328orkeysj2rs0wyms73d,Saúl Crespo,498529.0,Miguel Crespo,saul crespo,exact_surname,0.9,2026-06-07,
